name,lower,baseline,upper,distribution,group,integer,enabled,description
internal_gain_factor,0.8,1.0,1.2,triangular,Building load,False,True,Multiplier applied to internal sensible and latent gains.
infiltration_factor,0.8,1.0,1.3,triangular,Building load,,,Multiplier applied to infiltration or uncontrolled outdoor air.
climate_drift_C_per_year,0.0,0.03,0.08,uniform,Climate,,,Annual outdoor-temperature drift used in long-horizon scenarios.
alpha_foul,0.7,1.0,1.3,triangular,Heat-exchanger fouling,,,Multiplier on fouling accumulation kinetics.
R_f_star,4e-05,7e-05,0.0001,uniform,Heat-exchanger fouling,,,"Characteristic or asymptotic fouling resistance, m2 K W-1."
m_dot_dust,0.8,1.2,1.6,triangular,Filter clogging,,,"Dust-loading rate, g m-2 day-1."
K_clog,18.0,25.0,32.0,triangular,Filter clogging,,,"Pressure-drop increase per unit dust loading, Pa m2 g-1."
B,0.8,1.0,1.2,uniform,Performance degradation,,,Multiplier on degradation-related performance penalty.
eta,0.7,0.85,0.95,triangular,Maintenance,,,Maintenance recovery efficiency.
lambda_age,0.0,0.01,0.03,uniform,Equipment aging,,,Annual irreversible aging coefficient.
delta_trigger,0.45,0.55,0.65,triangular,Maintenance policy,,,Composite degradation threshold used by S3.
optimizer_population,12.0,18.0,30.0,uniform,Optimizer,True,,Number of candidates evaluated per optimizer iteration.
optimizer_iterations,5.0,10.0,20.0,uniform,Optimizer,True,,Number of elite Gaussian search iterations.
